mode,direction,magnitude_cm,site,error_mm,gof,realised_mm_mean
baseline,none,0.0,1225,0.02761303511319632,99.99999245557049,0.0
baseline,none,0.0,18006,0.11333814433511756,99.9999430063665,0.0
baseline,none,0.0,20049,0.17386287908737535,99.9999371959827,0.0
baseline,none,0.0,18871,0.018903027865026473,99.99999290625374,0.0
baseline,none,0.0,11130,0.042097821508439576,99.99998882365969,0.0
baseline,none,0.0,9619,0.5924284706452346,99.99945635596002,0.0
baseline,none,0.0,7218,0.006926914571168311,99.99999948176144,0.0
baseline,none,0.0,7641,0.053199312313255975,99.99997835316904,0.0
baseline,none,0.0,9526,0.02845388286567766,99.99999530230188,0.0
baseline,none,0.0,534,0.30024617452234414,99.99985985084558,0.0
baseline,none,0.0,19888,0.17169527018190273,99.99988189421252,0.0
baseline,none,0.0,14886,0.04430028332549612,99.99998450414282,0.0
cap,anterior,0.25,1225,0.9327436767523234,99.99967147099126,1.8909285947124477
cap,anterior,0.25,18006,1.608123875302077,99.99970726784073,1.8909285947124477
cap,anterior,0.25,20049,0.3161276195290015,99.99968817375367,1.8909285947124477
cap,anterior,0.25,18871,1.8045592139861593,99.99992409112899,1.8909285947124477
cap,anterior,0.25,11130,1.6583357261375704,99.99970137115591,1.8909285947124477
cap,anterior,0.25,9619,2.1186782462011884,99.99974340015157,1.8909285947124477
cap,anterior,0.25,7218,1.4688649887619813,99.99990421648053,1.8909285947124477
cap,anterior,0.25,7641,1.719755016441906,99.99984125800047,1.8909285947124477
cap,anterior,0.25,9526,1.5449763778067584,99.99980607864515,1.8909285947124477
cap,anterior,0.25,534,0.3241265876167574,99.99969763073607,1.8909285947124477
cap,anterior,0.25,19888,1.5216112952783183,99.99974776642595,1.8909285947124477
cap,anterior,0.25,14886,1.133198136224972,99.99988135801561,1.8909285947124477
cap,anterior,0.5,1225,1.8215112118327912,99.99910291426399,3.778379681891169
cap,anterior,0.5,18006,3.2262751819281403,99.99912530208144,3.778379681891169
cap,anterior,0.5,20049,0.617141708367725,99.99875802961598,3.778379681891169
cap,anterior,0.5,18871,3.638720624051388,99.99990114386907,3.778379681891169
cap,anterior,0.5,11130,3.408731162518155,99.99884453794185,3.778379681891169
cap,anterior,0.5,9619,3.3787459145479537,99.99920616173425,3.778379681891169
cap,anterior,0.5,7218,2.8972112446305873,99.99980774246843,3.778379681891169
cap,anterior,0.5,7641,3.4688291803627638,99.99935399782368,3.778379681891169
cap,anterior,0.5,9526,3.0161237359165534,99.99894393822248,3.778379681891169
cap,anterior,0.5,534,0.7243699319744438,99.99920402809579,3.778379681891169
cap,anterior,0.5,19888,2.631571316200905,99.99945718393435,3.778379681891169
cap,anterior,0.5,14886,2.367358160478959,99.99957367051518,3.778379681891169
cap,anterior,0.855,1225,3.125041101169458,99.99763868196632,6.4663325291536005
cap,anterior,0.855,18006,5.4142410854686505,99.99790849427143,6.4663325291536005
cap,anterior,0.855,20049,1.0832454007308516,99.99636756438358,6.4663325291536005
cap,anterior,0.855,18871,6.181723382491453,99.99971375469421,6.4663325291536005
cap,anterior,0.855,11130,5.8191625258222075,99.99671354806915,6.4663325291536005
cap,anterior,0.855,9619,6.523754917351439,99.99783218478605,6.4663325291536005
cap,anterior,0.855,7218,4.931448801035808,99.99969032683127,6.4663325291536005
cap,anterior,0.855,7641,5.8138572012075365,99.99793925998422,6.4663325291536005
cap,anterior,0.855,9526,5.183157517917034,99.99736886270999,6.4663325291536005
cap,anterior,0.855,534,1.2631163091900226,99.997543029023,6.4663325291536005
cap,anterior,0.855,19888,4.693677526011951,99.99836967271048,6.4663325291536005
cap,anterior,0.855,14886,3.974238276320793,99.99851104658792,6.4663325291536005
cap,anterior,0.938,1225,3.370097660066969,99.99731416420599,7.098562781813968
cap,anterior,0.938,18006,5.974826744112144,99.99756127815013,7.098562781813968
cap,anterior,0.938,20049,1.2067622973682242,99.99577413823198,7.098562781813968
cap,anterior,0.938,18871,6.600149417864218,99.9995849032376,7.098562781813968
